Code,Name,Geography,Area (sq km),Estimated Population mid-2021,2021 people per sq. km,Estimated Population mid-2011,2011 people per sq. km,Estimated Population mid-2001,2001 people per sq. km
S12000039,West Dunbartonshire,Council Area,158.766,87.79,553,90.61,571,93.32,588
S12000040,West Lothian,Council Area,427.743,185.58,434,175.3,410,159.03,372
N92000002,NORTHERN IRELAND,Country,13.546.654,1.904.563,141,1.814.318,134,1.688.838,125
N09000001,Antrim and Newtownabbey,Local Government District,571.432,145.852,255,138.651,243,128.76,225
N09000011,Ards and North Down,Local Government District,458.348,163.827,357,156.943,342,149.559,326
N09000002,"Armagh City, Banbridge and Craigavon",Local Government District,1.331.675,219.127,165,200.298,150,176.014,132
N09000003,Belfast,Local Government District,132.964,345.006,2595,333.895,2511,328.695,2472
N09000004,Causeway Coast and Glens,Local Government District,1.979.582,141.664,72,140.907,71,131.374,66
N09000005,Derry City and Strabane,Local Government District,1.237.300,150.834,122,148.191,120,143.81,116
N09000006,Fermanagh and Omagh,Local Government District,2.835.939,116.926,41,113.501,40,105.751,37
N09000007,Lisburn and Castlereagh,Local Government District,503.576,149.272,296,135.28,269,124.585,247
N09000008,Mid and East Antrim,Local Government District,1.044.528,139.127,133,135.365,130,127.452,122
N09000009,Mid Ulster,Local Government District,1.823.034,150.598,83,139.011,76,119.112,65
N09000010,"Newry, Mourne and Down",Local Government District,1.628.277,182.345,112,172.276,106,153.726,94
